camera;imagem;ponto;X_mm;Y_mm;Z_mm;u_px;v_px;erro_reprojecao_px
leftcamera;Im_L_7.png;canto_dir_baixo;250.0;150.0;0;600.0965;401.55182;0.17681023
leftcamera;Im_L_7.png;ponto_alto;125.0;75.0;-50;374.65128;285.8287;0.17681023
leftcamera;Im_L_8.png;origem;0;0;0;161.08733;153.38518;0.14688502
leftcamera;Im_L_8.png;canto_dir;250.0;0;0;578.4554;132.76086;0.14688502
leftcamera;Im_L_8.png;canto_baixo;0;150.0;0;173.36258;411.68295;0.14688502
leftcamera;Im_L_8.png;canto_dir_baixo;250.0;150.0;0;595.7871;378.89523;0.14688502
leftcamera;Im_L_8.png;ponto_alto;125.0;75.0;-50;371.04294;261.61948;0.14688502
leftcamera;Im_L_9.png;origem;0;0;0;134.37561;168.97766;0.13790365
leftcamera;Im_L_9.png;canto_dir;250.0;0;0;547.50696;91.24749;0.13790365
leftcamera;Im_L_9.png;canto_baixo;0;150.0;0;188.96826;415.85794;0.13790365
leftcamera;Im_L_9.png;canto_dir_baixo;250.0;150.0;0;590.79144;341.65976;0.13790365
leftcamera;Im_L_9.png;ponto_alto;125.0;75.0;-50;345.35257;260.7635;0.13790365
