camera;imagem;ponto;X_mm;Y_mm;Z_mm;u_px;v_px;erro_reprojecao_px
rightcamera;Im_R_6.png;canto_dir_baixo;250.0;150.0;0;808.46716;353.46738;0.18320963
rightcamera;Im_R_6.png;ponto_alto;125.0;75.0;-50;630.44836;216.72214;0.18320963
rightcamera;Im_R_7.png;origem;0;0;0;404.8381;146.80301;0.19208008
rightcamera;Im_R_7.png;canto_dir;250.0;0;0;817.5947;133.21028;0.19208008
rightcamera;Im_R_7.png;canto_baixo;0;150.0;0;415.88422;398.34448;0.19208008
rightcamera;Im_R_7.png;canto_dir_baixo;250.0;150.0;0;820.24066;381.3342;0.19208008
rightcamera;Im_R_7.png;ponto_alto;125.0;75.0;-50;631.89136;268.17908;0.19208008
rightcamera;Im_R_8.png;origem;0;0;0;389.70062;134.7393;0.16734219
rightcamera;Im_R_8.png;canto_dir;250.0;0;0;796.9178;114.17901;0.16734219
rightcamera;Im_R_8.png;canto_baixo;0;150.0;0;409.35382;396.9483;0.16734219
rightcamera;Im_R_8.png;canto_dir_baixo;250.0;150.0;0;816.6301;358.97076;0.16734219
rightcamera;Im_R_8.png;ponto_alto;125.0;75.0;-50;633.6111;243.12749;0.16734219
rightcamera;Im_R_9.png;origem;0;0;0;360.63977;150.59058;0.14438558
rightcamera;Im_R_9.png;canto_dir;250.0;0;0;778.28656;72.24176;0.14438558
rightcamera;Im_R_9.png;canto_baixo;0;150.0;0;412.17508;401.3573;0.14438558
rightcamera;Im_R_9.png;canto_dir_baixo;250.0;150.0;0;812.48755;322.28827;0.14438558
rightcamera;Im_R_9.png;ponto_alto;125.0;75.0;-50;607.76483;242.48047;0.14438558
